,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
1616,"('MR2_input_a == 36.0', 'input_b == 5')",2,"('MR2_checker == No-violated', 'MR2_input_b == 30.0')",2,1.0,0.01,10.0,900000000.0
1617,"('MR2_input_a == 36.0', 'MR2_input_b == 30.0')",2,"('MR2_checker == No-violated', 'input_b == 5')",2,1.0,0.01,10.0,900000000.0
1618,"('input_a == 9', 'input_b == 7')",2,"('MR2_input_a == 54.0',)",1,1.0,0.01,10.0,900000000.0
1619,"('MR2_input_a == 54.0', 'input_b == 7')",2,"('input_a == 9',)",1,1.0,0.01,10.0,900000000.0
1620,"('MR2_input_a == 48.0', 'MR2_input_b == 48.0', 'input_a == 8')",3,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
1621,"('MR2_checker == No-violated', 'MR2_input_b == 48.0', 'input_a == 8')",3,"('MR2_input_a == 48.0',)",1,1.0,0.01,10.0,900000000.0
1622,"('MR2_checker == No-violated', 'MR2_input_a == 48.0', 'MR2_input_b == 48.0')",3,"('input_a == 8',)",1,1.0,0.01,10.0,900000000.0
1623,"('MR2_input_b == 48.0', 'input_a == 8')",2,"('MR2_checker == No-violated', 'MR2_input_a == 48.0')",2,1.0,0.01,10.0,900000000.0
1624,"('MR2_input_a == 48.0', 'MR2_input_b == 48.0')",2,"('MR2_checker == No-violated', 'input_a == 8')",2,1.0,0.01,10.0,900000000.0
1625,"('MR2_input_b == 0.0', 'input_a == 2', 'input_b == 0')",3,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
1626,"('MR2_checker == No-violated', 'input_a == 2', 'input_b == 0')",3,"('MR2_input_b == 0.0',)",1,1.0,0.01,10.0,900000000.0
1627,"('MR2_checker == No-violated', 'MR2_input_b == 0.0', 'input_a == 2')",3,"('input_b == 0',)",1,1.0,0.01,10.0,900000000.0
1628,"('input_a == 2', 'input_b == 0')",2,"('MR2_checker == No-violated', 'MR2_input_b == 0.0')",2,1.0,0.01,11.111111111111112,910000000.0
1629,"('MR2_input_b == 0.0', 'input_a == 2')",2,"('MR2_checker == No-violated', 'input_b == 0')",2,1.0,0.01,11.111111111111112,910000000.0
1630,"('MR2_input_a == 36.0', 'MR2_input_b == 6.0', 'input_a == 6')",3,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
1631,"('MR2_checker == No-violated', 'MR2_input_b == 6.0', 'input_a == 6')",3,"('MR2_input_a == 36.0',)",1,1.0,0.01,10.0,900000000.0
1632,"('MR2_checker == No-violated', 'MR2_input_a == 36.0', 'MR2_input_b == 6.0')",3,"('input_a == 6',)",1,1.0,0.01,10.0,900000000.0
1633,"('MR2_input_b == 6.0', 'input_a == 6')",2,"('MR2_checker == No-violated', 'MR2_input_a == 36.0')",2,1.0,0.01,10.0,900000000.0
1634,"('MR2_input_a == 36.0', 'MR2_input_b == 6.0')",2,"('MR2_checker == No-violated', 'input_a == 6')",2,1.0,0.01,10.0,900000000.0
1635,"('MR2_checker == No-violated', 'MR2_input_b == 0.0', 'input_a == 8')",3,"('input_b == 0',)",1,1.0,0.01,10.0,900000000.0
1636,"('input_a == 8', 'input_b == 0')",2,"('MR2_checker == No-violated', 'MR2_input_b == 0.0')",2,1.0,0.01,11.111111111111112,910000000.0
1637,"('MR2_input_b == 0.0', 'input_a == 8')",2,"('MR2_checker == No-violated', 'input_b == 0')",2,1.0,0.01,11.111111111111112,910000000.0
1638,"('MR2_input_b == 0.0', 'input_a == 8', 'input_b == 0')",3,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
1639,"('MR2_checker == No-violated', 'input_a == 8', 'input_b == 0')",3,"('MR2_input_b == 0.0',)",1,1.0,0.01,10.0,900000000.0
1640,"('MR2_input_a == 12.0', 'input_b == 3')",2,"('MR2_input_b == 18.0',)",1,1.0,0.01,10.0,900000000.0
1641,"('MR2_input_a == 12.0', 'MR2_input_b == 18.0')",2,"('input_b == 3',)",1,1.0,0.01,10.0,900000000.0
1642,"('input_a == 2', 'input_b == 5')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
1643,"('MR2_input_b == 18.0', 'input_a == 0')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
1644,"('MR2_checker == No-violated', 'MR2_input_a == 48.0', 'MR2_input_b == 0.0')",3,"('input_b == 0',)",1,1.0,0.01,10.0,900000000.0
1645,"('MR2_input_a == 48.0', 'input_b == 0')",2,"('MR2_checker == No-violated', 'MR2_input_b == 0.0')",2,1.0,0.01,11.111111111111112,910000000.0
1646,"('MR2_input_a == 48.0', 'MR2_input_b == 0.0')",2,"('MR2_checker == No-violated', 'input_b == 0')",2,1.0,0.01,11.111111111111112,910000000.0
1647,"('MR2_input_a == 30.0', 'MR2_input_b == 30.0', 'input_a == 5')",3,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
1648,"('MR2_checker == No-violated', 'MR2_input_b == 30.0', 'input_a == 5')",3,"('MR2_input_a == 30.0',)",1,1.0,0.01,10.0,900000000.0
1649,"('MR2_checker == No-violated', 'MR2_input_a == 30.0', 'MR2_input_b == 30.0')",3,"('input_a == 5',)",1,1.0,0.01,10.0,900000000.0
1650,"('MR2_input_b == 30.0', 'input_a == 5')",2,"('MR2_checker == No-violated', 'MR2_input_a == 30.0')",2,1.0,0.01,10.0,900000000.0
